Year,Month,Revenue Passenger Miles,Airport Name
2004,10,191230,"- Austin, TX: Austin - Bergstrom International"
2004,11,186639,"- Austin, TX: Austin - Bergstrom International"
2004,12,180368,"- Austin, TX: Austin - Bergstrom International"
2005,1,162884,"- Austin, TX: Austin - Bergstrom International"
2005,2,156367,"- Austin, TX: Austin - Bergstrom International"
2005,3,209263,"- Austin, TX: Austin - Bergstrom International"
2005,4,190872,"- Austin, TX: Austin - Bergstrom International"
2005,5,204623,"- Austin, TX: Austin - Bergstrom International"
2005,6,223220,"- Austin, TX: Austin - Bergstrom International"
2005,7,245572,"- Austin, TX: Austin - Bergstrom International"
2005,8,233126,"- Austin, TX: Austin - Bergstrom International"
2005,9,197585,"- Austin, TX: Austin - Bergstrom International"
2005,10,213263,"- Austin, TX: Austin - Bergstrom International"
2005,11,213389,"- Austin, TX: Austin - Bergstrom International"
2005,12,198636,"- Austin, TX: Austin - Bergstrom International"
2006,1,190325,"- Austin, TX: Austin - Bergstrom International"
2006,2,188165,"- Austin, TX: Austin - Bergstrom International"
2006,3,245383,"- Austin, TX: Austin - Bergstrom International"
2006,4,226773,"- Austin, TX: Austin - Bergstrom International"
2006,5,241956,"- Austin, TX: Austin - Bergstrom International"
2006,6,255693,"- Austin, TX: Austin - Bergstrom International"
2006,7,266918,"- Austin, TX: Austin - Bergstrom International"
2006,8,251497,"- Austin, TX: Austin - Bergstrom International"
2006,9,222789,"- Austin, TX: Austin - Bergstrom International"
2006,10,241591,"- Austin, TX: Austin - Bergstrom International"
2006,11,236340,"- Austin, TX: Austin - Bergstrom International"
2006,12,231420,"- Austin, TX: Austin - Bergstrom International"
2007,1,205253,"- Austin, TX: Austin - Bergstrom International"
2007,2,192155,"- Austin, TX: Austin - Bergstrom International"
2007,3,258967,"- Austin, TX: Austin - Bergstrom International"
2007,4,244430,"- Austin, TX: Austin - Bergstrom International"
2007,5,268265,"- Austin, TX: Austin - Bergstrom International"
2007,6,287083,"- Austin, TX: Austin - Bergstrom International"
2007,7,302281,"- Austin, TX: Austin - Bergstrom International"
